iter	Passed	Remaining
312	2485	5454
313	2493	5446
314	2501	5440
315	2509	5432
316	2518	5425
317	2525	5416
318	2534	5409
319	2543	5405
320	2552	5398
321	2559	5390
322	2567	5381
323	2574	5372
324	2581	5362
325	2589	5353
326	2595	5342
327	2603	5333
328	2609	5322
329	2616	5311
330	2623	5301
331	2629	5290
332	2636	5279
333	2642	5269
334	2649	5260
335	2655	5248
336	2661	5236
337	2668	5226
338	2674	5215
339	2681	5204
340	2687	5193
341	2693	5183
342	2700	5171
343	2706	5160
344	2712	5150
345	2720	5141
346	2728	5135
347	2736	5127
348	2744	5119
349	2751	5110
350	2759	5101
351	2766	5092
352	2775	5086
353	2782	5077
354	2791	5071
355	2798	5062
356	2807	5056
357	2814	5047
358	2823	5040
359	2830	5032
360	2838	5025
361	2846	5015
362	2866	5030
363	2874	5022
364	2881	5012
365	2888	5004
366	2896	4995
367	2903	4986
368	2911	4978
369	2918	4969
370	2927	4962
371	2935	4955
372	2942	4946
373	2951	4939
374	2958	4931
375	2966	4922
376	2973	4914
377	2981	4906
378	2989	4898
379	2996	4889
380	3017	4903
381	3024	4893
382	3031	4884
383	3040	4877
384	3047	4868
385	3056	4861
386	3063	4852
387	3071	4844
388	3078	4835
389	3085	4826
390	3093	4817
391	3101	4810
392	3108	4801
393	3116	4793
394	3124	4785
395	3131	4776
396	3139	4768
397	3147	4761
398	3156	4754
399	3164	4747
400	3173	4739
401	3181	4732
402	3189	4725
403	3196	4716
404	3206	4710
405	3214	4702
406	3221	4693
407	3230	4687
408	3238	4679
409	3245	4670
410	3254	4663
411	3262	4656
412	3270	4647
413	3278	4640
414	3286	4632
415	3293	4624
416	3301	4616
417	3310	4608
418	3316	4599
419	3323	4589
420	3330	4580
421	3336	4570
422	3343	4560
423	3349	4550
424	3356	4540
425	3363	4531
426	3369	4521
427	3375	4511
428	3382	4501
429	3388	4492
430	3395	4482
431	3402	4473
432	3409	4464
433	3415	4454
434	3422	4444
435	3428	4435
436	3434	4425
437	3441	4415
438	3447	4406
439	3454	4396
440	3461	4387
441	3467	4377
442	3474	4368
443	3481	4359
444	3487	4349
445	3493	4339
446	3500	4330
447	3507	4321
448	3515	4314
449	3523	4306
450	3532	4300
451	3541	4293
452	3550	4286
453	3557	4278
454	3565	4270
455	3573	4263
456	3580	4254
457	3589	4247
458	3597	4240
459	3605	4232
460	3613	4225
461	3622	4218
462	3630	4210
463	3639	4204
464	3648	4197
465	3657	4191
466	3667	4185
467	3676	4178
468	3683	4170
469	3692	4163
470	3699	4155
471	3709	4149
472	3718	4142
473	3726	4134
474	3734	4127
475	3743	4120
476	3752	4113
477	3759	4105
478	3767	4098
479	3777	4092
480	3787	4086
481	3799	4082
482	3807	4075
483	3815	4067
484	3824	4060
485	3833	4054
486	3842	4047
487	3851	4040
488	3859	4032
489	3868	4026
490	3875	4018
491	3885	4011
492	3892	4003
493	3902	3996
494	3908	3987
495	3916	3979
496	3922	3970
497	3929	3961
498	3936	3952
499	3942	3942
500	3949	3933
501	3955	3924
502	3962	3915
503	3969	3906
504	3975	3897
505	3982	3888
506	3989	3879
507	3996	3870
508	4003	3861
509	4010	3853
510	4016	3844
511	4023	3835
512	4030	3825
513	4036	3816
514	4043	3807
515	4049	3798
516	4056	3789
517	4062	3780
518	4069	3771
519	4075	3761
520	4082	3753
521	4088	3744
522	4095	3735
523	4102	3726
524	4108	3717
525	4115	3708
526	4122	3700
527	4130	3692
528	4137	3683
529	4143	3674
530	4149	3665
531	4156	3656
532	4163	3647
533	4169	3638
534	4176	3630
535	4184	3622
536	4191	3613
537	4198	3605
538	4204	3596
539	4211	3587
540	4218	3579
541	4225	3570
542	4232	3561
543	4238	3552
544	4244	3543
545	4250	3534
546	4257	3525
547	4263	3516
548	4270	3508
549	4276	3499
550	4283	3490
551	4289	3481
552	4295	3472
553	4302	3463
554	4309	3455
555	4315	3446
556	4322	3437
557	4329	3429
558	4335	3420
559	4342	3411
560	4348	3402
561	4354	3394
562	4361	3385
563	4367	3376
564	4374	3367
565	4380	3359
566	4387	3350
567	4394	3342
568	4400	3333
569	4407	3324
570	4413	3316
571	4419	3307
572	4426	3298
573	4432	3289
574	4438	3280
575	4444	3271
576	4451	3263
577	4458	3255
578	4465	3246
579	4471	3238
580	4478	3229
581	4485	3221
582	4491	3212
583	4497	3203
584	4504	3195
585	4511	3187
586	4518	3179
587	4524	3170
588	4531	3161
589	4537	3153
590	4544	3145
591	4550	3136
592	4557	3127
593	4563	3119
594	4569	3110
595	4576	3102
596	4582	3093
597	4588	3084
598	4594	3075
599	4601	3067
600	4607	3059
601	4614	3050
602	4621	3042
603	4627	3034
604	4634	3025
605	4641	3017
606	4647	3009
607	4654	3000
608	4661	2992
609	4668	2984
610	4674	2976
611	4681	2967
612	4688	2960
613	4695	2951
614	4701	2943
615	4708	2934
616	4714	2926
617	4721	2918
618	4727	2909
619	4734	2901
620	4740	2893
621	4747	2885
622	4754	2877
623	4761	2869
624	4768	2861
625	4774	2852
626	4780	2844
627	4786	2835
628	4793	2827
629	4798	2818
630	4805	2810
631	4811	2801
632	4817	2792
633	4823	2784
634	4830	2776
635	4836	2768
636	4842	2759
637	4848	2751
638	4856	2743
639	4862	2735
640	4870	2727
641	4877	2719
642	4883	2711
643	4890	2703
644	4896	2694
645	4902	2686
646	4908	2678
647	4915	2670
648	4922	2662
649	4929	2654
650	4935	2646
651	4941	2637
652	4948	2629
653	4954	2621
654	4961	2613
655	4967	2604
656	4973	2596
657	4980	2588
658	4988	2581
659	4996	2573
660	5003	2566
661	5011	2558
662	5018	2550
663	5025	2542
664	5032	2535
665	5039	2527
666	5047	2519
667	5054	2512
668	5063	2505
669	5071	2497
670	5079	2490
671	5087	2482
672	5094	2475
673	5101	2467
674	5108	2459
675	5115	2451
676	5122	2443
677	5129	2435
678	5135	2428
679	5142	2420
680	5149	2412
681	5156	2404
682	5163	2396
683	5169	2388
684	5176	2380
685	5183	2372
686	5190	2364
687	5196	2356
688	5203	2348
689	5209	2340
690	5216	2332
691	5222	2324
692	5228	2316
693	5236	2308
694	5243	2300
695	5250	2293
696	5257	2285
697	5264	2277
698	5272	2270
699	5279	2262
700	5286	2254
701	5293	2246
702	5299	2238
703	5306	2231
704	5313	2223
705	5319	2215
706	5326	2207
707	5334	2200
708	5341	2192
709	5352	2186
710	5360	2178
711	5373	2173
712	5381	2166
713	5389	2158
714	5396	2150
715	5403	2143
716	5410	2135
717	5417	2127
718	5423	2119
719	5430	2111
720	5437	2103
721	5443	2096
722	5450	2088
723	5457	2080
724	5464	2072
725	5470	2064
726	5477	2056
727	5484	2049
728	5491	2041
729	5497	2033
730	5504	2025
731	5511	2017
732	5518	2010
733	5525	2002
734	5531	1994
735	5538	1986
736	5545	1978
737	5552	1971
738	5559	1963
739	5566	1955
740	5572	1947
741	5579	1940
742	5587	1932
743	5593	1924
744	5600	1917
745	5608	1909
746	5615	1901
747	5621	1893
748	5628	1886
749	5634	1878
750	5641	1870
751	5647	1862
752	5654	1854
753	5661	1847
754	5669	1839
755	5676	1831
756	5683	1824
757	5689	1816
758	5695	1808
759	5701	1800
760	5708	1792
761	5714	1784
762	5721	1777
763	5729	1769
764	5738	1762
765	5745	1755
766	5752	1747
767	5760	1740
768	5768	1732
769	5775	1725
770	5782	1717
771	5790	1710
772	5798	1702
773	5805	1695
774	5812	1687
775	5819	1679
776	5826	1672
777	5833	1664
778	5840	1656
779	5847	1649
780	5854	1641
781	5861	1634
782	5868	1626
783	5876	1618
784	5882	1611
785	5889	1603
786	5896	1595
787	5903	1588
788	5909	1580
789	5916	1572
790	5922	1564
791	5929	1557
792	5935	1549
793	5942	1541
794	5948	1533
795	5955	1526
796	5961	1518
797	5968	1510
798	5975	1503
799	5982	1495
800	5988	1487
801	5994	1480
802	6000	1472
803	6007	1464
804	6013	1456
805	6020	1449
806	6027	1441
807	6034	1433
808	6040	1426
809	6047	1418
810	6054	1410
811	6061	1403
812	6068	1395
813	6075	1388
814	6081	1380
815	6088	1372
816	6095	1365
817	6102	1357
818	6109	1350
819	6116	1342
820	6122	1334
821	6129	1327
822	6136	1319
823	6142	1312
824	6150	1304
825	6157	1297
826	6163	1289
827	6170	1281
828	6176	1274
829	6184	1266
830	6190	1258
831	6197	1251
832	6203	1243
833	6210	1236
834	6217	1228
835	6224	1221
836	6231	1213
837	6237	1205
838	6244	1198
839	6251	1190
840	6257	1182
841	6263	1175
842	6269	1167
843	6275	1159
844	6281	1152
845	6288	1144
846	6294	1137
847	6301	1129
848	6307	1121
849	6314	1114
850	6320	1106
851	6326	1098
852	6332	1091
853	6339	1083
854	6345	1076
855	6352	1068
856	6358	1060
857	6364	1053
858	6370	1045
859	6376	1038
860	6383	1030
861	6389	1022
862	6396	1015
863	6404	1008
864	6411	1000
865	6417	993
866	6424	985
867	6430	977
868	6437	970
869	6444	963
870	6451	955
871	6458	948
872	6465	940
873	6473	933
874	6479	925
875	6485	918
876	6492	910
877	6499	903
878	6505	895
879	6512	888
880	6519	880
881	6526	873
882	6532	865
883	6539	858
884	6546	850
885	6553	843
886	6561	835
887	6568	828
888	6575	821
889	6583	813
890	6590	806
891	6597	798
892	6604	791
893	6610	783
894	6617	776
895	6624	768
896	6631	761
897	6638	753
898	6644	746
899	6651	739
900	6658	731
901	6665	724
902	6671	716
903	6677	709
904	6684	701
905	6691	694
906	6698	686
907	6705	679
908	6712	671
909	6718	664
910	6725	657
911	6732	649
912	6739	642
913	6746	634
914	6752	627
915	6759	619
916	6765	612
917	6771	604
918	6778	597
919	6784	589
920	6790	582
921	6797	575
922	6804	567
923	6811	560
924	6818	552
925	6825	545
926	6832	538
927	6839	530
928	6846	523
929	6854	515
930	6861	508
931	6868	501
932	6875	493
933	6883	486
934	6890	478
935	6896	471
936	6903	464
937	6910	456
938	6916	449
939	6922	441
940	6929	434
941	6936	427
942	6943	419
943	6950	412
944	6957	404
945	6964	397
946	6970	390
947	6977	382
948	6983	375
949	6990	367
950	6997	360
951	7004	353
952	7011	345
953	7017	338
954	7024	330
955	7030	323
956	7038	316
957	7045	308
958	7051	301
959	7058	294
960	7065	286
961	7071	279
962	7078	271
963	7084	264
964	7090	257
965	7097	249
966	7104	242
967	7110	235
968	7117	227
969	7124	220
970	7131	212
971	7137	205
972	7144	198
973	7150	190
974	7157	183
975	7163	176
976	7169	168
977	7175	161
978	7182	154
979	7188	146
980	7195	139
981	7201	131
982	7207	124
983	7212	117
984	7219	109
985	7225	102
986	7231	95
987	7238	87
988	7244	80
989	7251	73
990	7258	65
991	7264	58
992	7271	51
993	7277	43
994	7284	36
995	7291	29
996	7297	21
997	7304	14
998	7310	7
999	7317	0
